YEAR,TYPE,period_of_day
2003,Break and Enter Commercial,3196
2003,Break and Enter Residential/Other,6884
2003,Homicide,17
2003,Mischief,6387
2003,Offence Against a Person,3510
2003,Other Theft,11425
2003,Theft from Vehicle,17744
2003,Theft of Bicycle,1419
2003,Theft of Vehicle,6360
2003,Vehicle Collision or Pedestrian Struck (with Fatality),25
2003,Vehicle Collision or Pedestrian Struck (with Injury),1856
2004,Break and Enter Commercial,3279
2004,Break and Enter Residential/Other,6534
2004,Homicide,22
2004,Mischief,5598
2004,Offence Against a Person,3792
2004,Other Theft,11438
2004,Theft from Vehicle,18202
2004,Theft of Bicycle,1230
2004,Theft of Vehicle,6100
2004,Vehicle Collision or Pedestrian Struck (with Fatality),22
2004,Vehicle Collision or Pedestrian Struck (with Injury),1892
2005,Break and Enter Commercial,2639
2005,Break and Enter Residential/Other,5538
2005,Homicide,22
2005,Mischief,5062
2005,Offence Against a Person,3762
2005,Other Theft,11356
2005,Theft from Vehicle,16553
2005,Theft of Bicycle,1416
2005,Theft of Vehicle,5030
2005,Vehicle Collision or Pedestrian Struck (with Fatality),33
2005,Vehicle Collision or Pedestrian Struck (with Injury),2003
2006,Break and Enter Commercial,2845
2006,Break and Enter Residential/Other,5674
2006,Homicide,18
2006,Mischief,5180
2006,Offence Against a Person,4346
2006,Other Theft,10300
2006,Theft from Vehicle,14730
2006,Theft of Bicycle,1467
2006,Theft of Vehicle,3681
2006,Vehicle Collision or Pedestrian Struck (with Fatality),20
2006,Vehicle Collision or Pedestrian Struck (with Injury),1388
2007,Break and Enter Commercial,2436
2007,Break and Enter Residential/Other,4996
2007,Homicide,19
2007,Mischief,4812
2007,Offence Against a Person,4402
2007,Other Theft,9722
2007,Theft from Vehicle,12227
2007,Theft of Bicycle,1203
2007,Theft of Vehicle,3304
2007,Vehicle Collision or Pedestrian Struck (with Fatality),24
2007,Vehicle Collision or Pedestrian Struck (with Injury),1239
2008,Break and Enter Commercial,2225
2008,Break and Enter Residential/Other,4429
2008,Homicide,18
2008,Mischief,5270
2008,Offence Against a Person,4213
2008,Other Theft,9463
2008,Theft from Vehicle,11295
2008,Theft of Bicycle,1176
